FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
ACEL,"Accel Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
ACM,AECOM,Consumer Services,Military/Government/Technical
AFYA,Afya Limited,Consumer Services,Other Consumer Services
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
SONG,Akazoo S.A.,Consumer Services,Broadcasting
SONGW,Akazoo S.A.,Consumer Services,Broadcasting
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services
AESE,"Allied Esports Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
PINE,"Alpine Income Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
ATUS,"Altice USA, Inc.",Consumer Services,Television Services
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBO,Ambow Education Holding Ltd.,Consumer Services,Other Consumer Services
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment
AMCX,AMC Networks Inc.,Consumer Services,Television Services
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
AREC,American Resources Corporation,Consumer Services,Other Consumer Services
